acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,genre
0.932,0.257,0.0906,0.985,8,0.0786,-25.381,1,0.07,67.46,0.0451,ambient
0.995,0.203,0.00136,0.879,5,0.116,-37.927,0,0.0514,68.409,0.0342,ambient
0.856,0.139,0.22,0.831,2,0.17,-19.974,0,0.0324,71.432,0.0789,ambient
0.768,0.0688,0.202,0.909,6,0.152,-18.995,0,0.0388,74.486,0.0369,ambient
0.968,0.163,0.0259,0.89,4,0.0827,-29.215,0,0.0384,68.172,0.0296,ambient
0.817,0.189,0.343,0.916,4,0.0924,-20.314,1,0.0453,141.659,0.0834,ambient
0.976,0.0918,0.0569,0.884,0,0.0842,-31.808,1,0.0358,81.944,0.0528,ambient
0.193,0.8,0.679,0.782,0,0.112,-8.389,1,0.215,122.504,0.207,ambient
0.931,0.0711,0.0183,0.931,2,0.0869,-31.595,0,0.0401,74.375,0.0366,ambient
0.000118,0.403,0.747,0.0433,9,0.101,-6.334,1,0.0323,140.056,0.237,ambient
0.354,0.17,0.4,0.195,1,0.0988,-7.579,1,0.0386,120.354,0.0342,ambient
0.937,0.175,0.143,0.933,3,0.0915,-17.439,0,0.0412,173.33,0.0662,ambient
0.961,0.191,0.0582,0.89,8,0.0941,-25.398,1,0.0578,132.614,0.0454,ambient
0.934,0.447,0.449,0.961,2,0.0697,-10.634,1,0.0376,92.468,0.036,ambient
0.178,0.286,0.0968,0.696,7,0.0861,-16.806,1,0.0323,62.881,0.0395,ambient
0.951,0.18,0.226,0.982,9,0.0998,-16.457,0,0.042,94.079,0.048,ambient
0.927,0.311,0.0173,0.964,9,0.0727,-27.788,0,0.0348,95.985,0.0658,ambient
0.872,0.38,0.246,0.905,7,0.084,-13.955,0,0.0329,133.805,0.0573,ambient
0.994,0.483,0.0176,0.928,7,0.0912,-25.501,0,0.052,76.384,0.2,ambient
0.903,0.273,0.102,0.721,0,0.268,-16.843,0,0.0494,120.378,0.0583,ambient
0.987,0.424,0.0713,0.929,5,0.118,-23.609,0,0.0515,63.648,0.148,ambient
0.971,0.603,0.288,0.841,6,0.0921,-16.301,0,0.0393,123.98,0.196,ambient
0.909,0.14,0.217,0.855,7,0.0689,-15.304,1,0.0352,88.381,0.078,ambient
0.154,0.0652,0.342,0.857,10,0.11,-12.742,0,0.0483,65.602,0.0335,ambient
0.912,0.101,0.338,0.859,6,0.151,-9.502,0,0.0442,81.168,0.0952,ambient
0.982,0.26,0.00397,0.913,2,0.102,-31.095,1,0.0406,82.862,0.0368,ambient
0.932,0.257,0.0906,0.985,8,0.0786,-25.381,1,0.07,67.46,0.0451,ambient
0.995,0.203,0.00136,0.879,5,0.116,-37.927,0,0.0514,68.409,0.0342,ambient
0.976,0.0918,0.0569,0.884,0,0.0842,-31.808,1,0.0358,81.944,0.0528,ambient
0.856,0.139,0.22,0.831,2,0.17,-19.974,0,0.0324,71.432,0.0789,ambient
0.911,0.159,0.071,0.856,6,0.107,-27.109,0,0.0409,146.977,0.0602,ambient
0.971,0.108,0.0419,0.909,9,0.052,-26.441,0,0.0418,69.511,0.0429,ambient
0.315,0.791,0.599,0.928,3,0.111,-13.648,1,0.145,93.988,0.57,ambient
0.342,0.51,0.505,0.96,9,0.117,-13.053,0,0.0344,114.532,0.318,ambient
0.981,0.18,0.0497,0.903,3,0.0637,-30.856,1,0.0359,72.674,0.073,ambient
0.955,0.0629,0.0718,0.907,8,0.0906,-24.789,0,0.0432,67.25,0.0324,ambient
0.168,0.118,0.225,0.772,0,0.0782,-19.356,1,0.043,77.918,0.0377,ambient
0.443,0.293,0.707,0.497,5,0.712,-10.346,1,0.433,99.924,0.0325,ambient
0.674,0.522,0.462,0.969,5,0.11,-11.273,1,0.0335,80.0,0.104,ambient
0.326,0.285,0.55,0.866,9,0.128,-10.988,0,0.0414,89.986,0.0559,ambient
0.813,0.235,0.413,0.929,8,0.0994,-15.958,1,0.0466,132.011,0.118,ambient
0.0101,0.52,0.37,0.849,8,0.0743,-15.211,1,0.0292,144.963,0.0375,ambient
0.968,0.163,0.0259,0.89,4,0.0827,-29.215,0,0.0384,68.172,0.0296,ambient
0.908,0.171,0.0371,0.975,8,0.0792,-32.469,0,0.0386,135.031,0.0437,ambient
0.981,0.0681,0.0126,0.763,6,0.0891,-38.276,1,0.043,74.012,0.0332,ambient
0.965,0.218,0.209,0.824,9,0.0868,-22.497,0,0.0507,132.382,0.0685,ambient
0.877,0.144,0.0621,0.822,7,0.109,-28.247,0,0.0353,72.928,0.0394,ambient
0.0404,0.0598,0.425,0.843,8,0.201,-9.701,0,0.0447,64.075,0.0625,ambient
0.96,0.0815,0.0261,0.97,1,0.105,-20.811,0,0.0425,84.564,0.039,ambient
0.917,0.58,0.854,0.96,1,0.143,-11.925,0,0.0575,114.352,0.0339,ambient
0.909,0.458,0.309,0.956,2,0.118,-14.186,1,0.0283,106.006,0.0556,ambient
0.961,0.389,0.356,0.935,2,0.118,-13.911,1,0.0316,85.656,0.041,ambient
0.989,0.28,0.0557,0.918,6,0.305,-24.887,1,0.0441,114.167,0.157,ambient
0.782,0.0748,0.523,0.866,4,0.0886,-8.069,1,0.0354,74.195,0.0383,ambient
0.0503,0.474,0.711,0.847,2,0.102,-8.104,1,0.0318,90.026,0.182,ambient
0.867,0.217,0.272,0.919,2,0.115,-13.276,1,0.0387,115.049,0.123,ambient
0.994,0.318,0.0129,0.945,9,0.084,-23.844,1,0.0501,76.352,0.0598,ambient
0.944,0.133,0.00091,0.904,1,0.0927,-27.261,1,0.0523,72.314,0.421,ambient
0.474,0.439,0.363,0.952,2,0.106,-10.858,1,0.0263,96.671,0.0444,ambient
0.207,0.0798,0.324,0.169,4,0.638,-10.55,1,0.0306,76.871,0.0366,ambient
0.937,0.239,0.0138,0.916,5,0.13,-32.843,0,0.029,63.171,0.0357,ambient
0.0839,0.607,0.373,0.911,7,0.194,-13.969,0,0.0384,91.011,0.0917,ambient
0.512,0.324,0.615,0.809,11,0.0677,-10.774,1,0.0419,167.951,0.0361,ambient
0.0175,0.772,0.83,0.843,1,0.0919,-14.395,1,0.139,100.055,0.579,ambient
0.954,0.0785,0.0822,0.857,4,0.11,-27.857,1,0.0338,179.959,0.217,ambient
0.105,0.226,0.322,0.836,1,0.609,-16.207,1,0.0334,100.04,0.0395,ambient
0.909,0.219,0.0304,0.938,7,0.149,-35.2,0,0.0375,130.244,0.114,ambient
0.838,0.162,0.00233,0.765,0,0.113,-33.756,1,0.0499,111.318,0.0322,ambient
0.991,0.125,0.0108,0.945,0,0.057,-32.126,1,0.0376,71.332,0.164,ambient
0.994,0.0693,0.00313,0.876,7,0.109,-41.164,0,0.0471,73.878,0.0385,ambient
