song_name,artist_name,spotify_id
An Ending (Ascent),Brian Eno,1vgSaC0BPlL6LEm4Xsx59J
Music for Airports,Brian Eno,4Aiy9bOQdnX5Df5QcKetgg
Weightless,Marconi Union,6kkwzB6hXLIONkEk9JciA6
Selected Ambient Works 85-92,Aphex Twin,
Rhubarb,Aphex Twin,2fRIkIeA6I99RfxmcKAaUG
Structures from Silence,Steve Roach,3v6UGvx3CJ0F0iEq5jWwl1
Deep Blue Day,Brian Eno,50mL6pbI0uI6YX1xbSer7g
Thursday Afternoon,Brian Eno,4t3Yh6tKkxXrc458pNI7zZ
Ambient 1,Brian Eno,
Open Eye Signal,Jon Hopkins,0c9MTfnssGoNXUgmsaE5XU
Sun Harmonics,Max Richter,
On the Nature of Daylight,Max Richter,0TYg4wqjOJXuUoRkFFA3Xv
Sleep,Max Richter,4IDeKocJ0trKxtzksUX9mk
We Own the Sky,M83,2s8q3MEyTXW7wZjmXkDxDW
Lower Your Eyelids to Die With the Sun,M83,5WMnCJcI1CGG33Uhn2tjMc
Your Hand in Mine,Explosions in the Sky,4mZofk9oND0AA4sJfzTH0R
Arrival of the Birds,The Cinematic Orchestra,0Gr2XQOIMaaUH86iOrWGur
Nuvole Bianche,Ludovico Einaudi,3weNRklVDqb4Rr5MhKBR3D
Experience,Ludovico Einaudi,1BncfTJAWxrsxyT9culBrj
Time,Hans Zimmer,6ZFbXIJkuI1dVNWvzJzown
Cornfield Chase,Hans Zimmer,6pWgRkpqVfxnj3WuIcJ7WP
Day One,Hans Zimmer,4WmB04GBqS4xPMYN9dHgBw
Lux Aeterna,Clint Mansell,62Da3JOu9H9EIgmqV7DoLG
Together We Will Live Forever,Clint Mansell,2pr6us08iPNzIex5q6fMvI
Light of the Seven,Ramin Djawadi,6iLzFJhs4ATwJn7P1utZIJ
Elegy for the Arctic,Ludovico Einaudi,6rodOIyxUXZrRfzoNL2vXx
Nightbook,Ludovico Einaudi,7mmeq0ZmRwurYUujKsElqg
Divenire,Ludovico Einaudi,6KpO4neDXxGdiEgsivZieY
The Blue Notebooks,Max Richter,56oReVXIfUO9xkX7pHmEU0
Infra 5,Max Richter,5EvrR8bCuyCRZtvcVcXsRg
1/1,Brian Eno,3bCmDqflFBHijgJfvtqev5
An Ending (Ascent),Brian Eno,1vgSaC0BPlL6LEm4Xsx59J
Music for Airports 1/2,Brian Eno,4Aiy9bOQdnX5Df5QcKetgg
Thursday Afternoon,Brian Eno,4t3Yh6tKkxXrc458pNI7zZ
Weightless,Marconi Union,6kkwzB6hXLIONkEk9JciA6
