song_name,artist_name,spotify_id
Symphony No.5,Ludwig van Beethoven,2ygeBLTP9uu3OW3VTulD8N
F?r Elise,Ludwig van Beethoven,4WSTCgusJaLKy7EicGoHQe
The Four Seasons: Spring,Antonio Vivaldi,4jOlYUMMsCacMm3xcrYRLl
Canon in D,Johann Pachelbel,32wIkGep9EXmK1Tqaz9g51
Moonlight Sonata,Ludwig van Beethoven,40gRh2ZURv5tYBo8yB9Lu3
Clair de Lune,Claude Debussy,5u5aVJKjSMJr4zesMPz7bL
Nocturne Op.9 No.2,Fr?d?ric Chopin,39kqnMVYq1NnSQbLeeiCo6
Ride of the Valkyries,Richard Wagner,2A7qdr3UNP9Pxjcxa5Jj53
Eine kleine Nachtmusik,Wolfgang Amadeus Mozart,3cOWlBOi9NyFvL67JhmJt0
Swan Lake,Pyotr Ilyich Tchaikovsky,0tAERNa3TocZjKukfNChwX
Gymnop?die No.1,Erik Satie,0eopqhi0iCdXKCGL0fUIdV
Bol?ro,Maurice Ravel,60Xbsk4Gz1t89U8sMkpZck
Air on the G String,Johann Sebastian Bach,6pt8oGfiwgidz03nGw1zTb
Symphony No.9,Ludwig van Beethoven,2ygeBLTP9uu3OW3VTulD8N
Piano Concerto No.21,Wolfgang Amadeus Mozart,2ymiJPCDEknHRbIzEze0Dd
Requiem,Wolfgang Amadeus Mozart,5p3xMIHQ6YoAIaSgZeOkNa
Prelude in C Major,Johann Sebastian Bach,2Kp82rcem9Fi47uyXVVj4G
Hungarian Rhapsody No.2,Franz Liszt,7tCr330jxCDMU53eNaFYEx
Peer Gynt Suite,Edvard Grieg,0awWxz7WRKdSpU9RVZ5PVK
Blue Danube,Johann Strauss II,6AMVA4AHaaxvf5XmQYnrPH
Adagio for Strings,Samuel Barber,7nHvS6UUhz2gJhj8TIROLX
Goldberg Variations,Johann Sebastian Bach,5KHCQ9WrufHv1hS9phE15b
Pictures at an Exhibition,Modest Mussorgsky,1UOPAVxtOJnFMjRg5RoLDO
Carmen Suite,Georges Bizet,5ZqlLqZFpUJdye2cbuNNG2
The Nutcracker,Pyotr Ilyich Tchaikovsky,3BItfuMR4kWr5XepMNP3kz
La Campanella,Franz Liszt,3L3PYGeOmc09PCxMZHsk6b
Water Music,George Frideric Handel,7hlUrggh6x3W0KSYXAqhgU
Pavane,Faur?,0S5e4C06CMYnSwpcPe0gz0
Symphony No.40,Wolfgang Amadeus Mozart,47OrKjPV2fWoRvYrPuJ8fD
Requiem: Lacrimosa,Mozart,5p3xMIHQ6YoAIaSgZeOkNa
Symphony No. 5 in C Minor,Ludwig van Beethoven,2ygeBLTP9uu3OW3VTulD8N
F?r Elise,Ludwig van Beethoven,4WSTCgusJaLKy7EicGoHQe
Moonlight Sonata,Ludwig van Beethoven,40gRh2ZURv5tYBo8yB9Lu3
Symphony No. 9 (Ode to Joy),Ludwig van Beethoven,2ygeBLTP9uu3OW3VTulD8N
Symphony No. 3 (Eroica),Ludwig van Beethoven,43MzxsDarmZyTsz8GhsSHC
Symphony No. 7: II. Allegretto,Ludwig van Beethoven,3Ap10Jtfni7eG1vhUvFxJP
Piano Sonata No. 8 (Path?tique),Ludwig van Beethoven,0297ymr9KHyrxYq0n08Yjs
Violin Concerto in D Major,Ludwig van Beethoven,14sRnzorGSPbWzTnISgQYr
The Four Seasons: Spring,Antonio Vivaldi,4jOlYUMMsCacMm3xcrYRLl
The Four Seasons: Summer,Antonio Vivaldi,1Ojz92vyPK4fJ5K8RVnV5u
The Four Seasons: Autumn,Antonio Vivaldi,5tPXlgmXSOImrkESChtLVX
The Four Seasons: Winter,Antonio Vivaldi,0ROMalDdNg3L2HoZP4qFyJ
Gloria in D Major,Antonio Vivaldi,5Txwlv081K39njx353jh7r
Symphony No. 40 in G Minor,Wolfgang Amadeus Mozart,47OrKjPV2fWoRvYrPuJ8fD
Eine kleine Nachtmusik,Wolfgang Amadeus Mozart,3cOWlBOi9NyFvL67JhmJt0
Requiem: Lacrimosa,Wolfgang Amadeus Mozart,5p3xMIHQ6YoAIaSgZeOkNa
The Marriage of Figaro: Overture,Wolfgang Amadeus Mozart,23if4cvw0UI7c8Uc5OOvss
Piano Sonata No. 11 (Rondo alla Turca),Wolfgang Amadeus Mozart,4Oy2i9le88JEW1oQSIpkDb
Don Giovanni: Overture,Wolfgang Amadeus Mozart,5FGjk7ToA7tm8MVGwL9HZC
Symphony No. 41 (Jupiter),Wolfgang Amadeus Mozart,6OC0v9yU90ME5DW2o1skKr
The Magic Flute: Queen of the Night Aria,Wolfgang Amadeus Mozart,1T86Jeg7YHkfDiVwECYqXv
Cello Suite No. 1 in G Major,Johann Sebastian Bach,17i5jLpzndlQhbS4SrTd0B
Toccata and Fugue in D Minor,Johann Sebastian Bach,0BWJNm4TrO6H3qgiCmDBjM
Air on the G String,Johann Sebastian Bach,6pt8oGfiwgidz03nGw1zTb
Brandenburg Concerto No. 3,Johann Sebastian Bach,4tXktBBrKGTebkYjvzFA3i
The Well-Tempered Clavier: Prelude No. 1,Johann Sebastian Bach,04mziGPJMPRzEa84RfB8WE
Goldberg Variations,Johann Sebastian Bach,5KHCQ9WrufHv1hS9phE15b
Jesu Joy of Man's Desiring,Johann Sebastian Bach,3llm8qG6snZywvyZ9Y46t3
Mass in B Minor,Johann Sebastian Bach,1pUBiJQFTnj9fpmbJKeue8
Swan Lake: Scene by the Lake,Pyotr Ilyich Tchaikovsky,2xizRhme7pYeITbH1NLLGt
The Nutcracker: Dance of the Sugar Plum Fairy,Pyotr Ilyich Tchaikovsky,3BItfuMR4kWr5XepMNP3kz
The Nutcracker: Waltz of the Flowers,Pyotr Ilyich Tchaikovsky,0CJuLeZpCdqrqoCMXWZw8k
1812 Overture,Pyotr Ilyich Tchaikovsky,3FTtol76FmRdVNRUO42csG
Piano Concerto No. 1,Pyotr Ilyich Tchaikovsky,2Xz4hxOYFPVdbZQuEq49FY
Symphony No. 6 (Path?tique),Pyotr Ilyich Tchaikovsky,
Sleeping Beauty Waltz,Pyotr Ilyich Tchaikovsky,3BtjDsEqww1288AwsVO8c4
Nocturne Op. 9 No. 2,Fr?d?ric Chopin,39kqnMVYq1NnSQbLeeiCo6
Raindrop Prelude,Fr?d?ric Chopin,5wDBBKEIiDYwPQj4SpbBPI
Fantaisie-Impromptu,Fr?d?ric Chopin,77DAQTIrOJR1pHa0zgLuWr
Revolutionary Etude,Fr?d?ric Chopin,27exZwTTa5fHoRY2n2S0Wf
Ballade No. 1 in G Minor,Fr?d?ric Chopin,1BQwxOc42egasEygI7BTHH
Funeral March,Fr?d?ric Chopin,3F5nc8oBArGKsWm00LUaSx
Waltz in D-flat Major (Minute Waltz),Fr?d?ric Chopin,0jyBCe5VYsj7GSi8vUmFPF
Canon in D,Johann Pachelbel,32wIkGep9EXmK1Tqaz9g51
Messiah: Hallelujah Chorus,George Frideric Handel,4TNCQyG2gmepsGoeLdRKn4
Water Music,George Frideric Handel,7hlUrggh6x3W0KSYXAqhgU
Music for the Royal Fireworks,George Frideric Handel,0PbfITzJHmBM1vAlmqbEVP
Sarabande,George Frideric Handel,1upQiytDIEZfl9ItruoXuC
Zadok the Priest,George Frideric Handel,30bQxViotttoZ7x2iUP2L9
Peer Gynt: Morning Mood,Edvard Grieg,0awWxz7WRKdSpU9RVZ5PVK
