song_name,artist_name,spotify_id
Levels,Avicii,5UqCQaDshqbIk3pkhy4Pjg
Animals,Martin Garrix,0A9mHc7oYUoCECqByV8cQR
Titanium,David Guetta,2e2O9k2KuB1NIS7n4GNz4N
One More Time,Daft Punk,0DiWol3AO6WpXZgp0goxAV
Wake Me Up,Avicii,0nrRP2bk19rLc0orkWPQk2
Opus,Eric Prydz,3v2oAQomhOcYCPPHafS3KV
Scary Monsters and Nice Sprites,Skrillex,5q8oybjZelukF4h0CzSUN9
Strobe,Deadmau5,6c9EGVj5CaOeoKd9ecMW1U
Ghosts 'n' Stuff,Deadmau5,4ua0IepBEISCWwF8dTJvcU
Sun Is Shining,Axwell / Ingrosso,4b2tcjrG1qUkSdsqEFP2dB
Axel F,Crazy Frog,0Bo5fjMtTfCD8vHGebivqc
Alone,Marshmello,3MEYFivt6bilQ9q9mFWZ4g
Wake Me Up - Radio Edit,Avicii,0zhR9D6V7n3pAtETrkrH4g
Ring Ring,MIRA,4cSp2hlUlAwgurjIqHN592
Scream & Shout,Britney Spearswill.i.am,
Firestone,Conrad SewellKygo,
Blame (feat. John Newman),Calvin HarrisJohn Newman,
Where Have You Been,Rihanna,5WQQIDU3HRaMyPkob8mpFb
Sing Me to Sleep,Alan Walker,1tfVpMI8G6EakZU4rEja4w
Memories (feat. Kid Cudi),David GuettaKid Cudi,
Fast Car,DakotaJonas Blue,
On My Way,Alan WalkerFarrukoSabrina Carpenter,
My Love,Jess GlynneRoute 94,
Sun Goes Down (feat. Jasmine Thompson) - Radio Mix,Jasmine ThompsonRobin Schulz,
My Way,Calvin Harris,3ejfcz0QPyV717Vd3ta04V
Latch,DisclosureSam Smith,
Starships,Nicki Minaj,2EBCVPNAG46nbgs6jXPGvv
Shades of Blue,F?a,6Oqmx2no7F1A49ur9FLr1T
Runaway (U & I),Galantis,4Nh7Umpl8YPFPcggcby6JW
Around the World,Daft Punk,1pKYYY0dkg23sQQXi0Q5zN
One More Time,Daft Punk,0DiWol3AO6WpXZgp0goxAV
Harder Better Faster Stronger,Daft Punk,5W3cjX2J3tjhG8zb6u0qHn
Da Funk,Daft Punk,0MyY4WcN7DIfbSmp5yej5z
Get Lucky,Daft Punk,2Foc5Q5nqNiosCNqttzHof
Digital Love,Daft Punk,2VEZx7NWsZ1D0eJ4uv5Fym
Robot Rock,Daft Punk,7LL40F6YdZgeiQ6en1c7Lk
Firestarter,The Prodigy,79CUrU5o2KAVDTNm4x3eGU
Breathe,The Prodigy,0Ja4hLKiUSw01E01pJ1yGr
Smack My Bitch Up,The Prodigy,48vDCZIRmrFO33fH4QU4ij
Omen,The Prodigy,144adL7pGHEWRwute2wxzZ
Invaders Must Die,The Prodigy,1j6lrR4BzRGKwvAPfrIcbf
Voodoo People,The Prodigy,5wqlRFdpJ1a4kMIBSWeCnN
Charly,The Prodigy,02G5u4AcbGhlfSkHzGCpmN
Hey Boy Hey Girl,The Chemical Brothers,7kXmJwrZGIhDaLT9sNo3ut
Galvanize,The Chemical Brothers,4bz7uB4edifWKJXSDxwHcs
Block Rockin' Beats,The Chemical Brothers,6nGUM3Z0FNJZW9wbNj97Ig
Go,The Chemical Brothers,2cNjgoSh1TBHFQIhfzRJUE
Levels,Avicii,5UqCQaDshqbIk3pkhy4Pjg
Wake Me Up,Avicii,0nrRP2bk19rLc0orkWPQk2
