song_name,artist_name,spotify_id
Blowin' in the Wind,Bob Dylan,18GiV1BaXzPVYpp9rmOg0E
The Times They Are A-Changin',Bob Dylan,52vA3CYKZqZVdQnzRrdZt6
Scarborough Fair,Simon & Garfunkel,3g2fYZW5v2od8KIF7VktT0
Take Me Home, Country Roads,John Denver
Mr. Tambourine Man,Bob Dylan,3RkQ3UwOyPqpIiIvGVewuU
Hallelujah,Leonard Cohen,7yzbimr8WVyAtBX3Eg6UL9
Fast Car,Tracy Chapman,2M9ro2krNb7nr7HSprkEgo
The Boxer,Simon & Garfunkel,76TZCvJ8GitQ2FA1q5dKu0
Jolene,Dolly Parton,3iWSfaHoiphVIBMIwJHzpJ
If I Had a Hammer,Pete Seeger,0LQb14wtNOmlcEpQkfnYX7
Wild World,Cat Stevens,7mjSHL2Eb0kAwiKbvNNyD9
Suzanne,Leonard Cohen,4jiM2fAXVOxl4DAx3wraFx
Big Yellow Taxi,Joni Mitchell,6UkMcAA19lTdjs22jtB7o2
Both Sides Now,Joni Mitchell,1pjATX7sbd6Y4jMVqIvzHk
Leaving on a Jet Plane,John Denver,3D8dwH690MXQRhtIZTSS9c
House of the Rising Sun,The Animals,4mn2kNTqiGLwaUR8JdhJ1l
Heart of Gold,Neil Young,26QKxvjlCo2fSd3T4c8Zpb
The Sound of Silence,Simon & Garfunkel,5y788ya4NvwhBznoDIcXwK
Father and Son,Cat Stevens,476V2d6iA2tWXgQboKmTtA
American Pie,Don McLean,1fDsrQ23eTAVFElUMaf38X
Early Morning Rain,Gordon Lightfoot,5M1gX3DQvgc7GI6dBWX9FL
Fire and Rain,James Taylor,4a08JFMdOAeLMFz9ov82E4
Dust in the Wind,Kansas,6zeE5tKyr8Nu882DQhhSQI
Blackbird,The Beatles,5jgFfDIR6FR0gvlA56Nakr
Rocky Mountain High,John Denver,1ne9wOtDF2jM6Cm8WBkaER
This Land Is Your Land,Woody Guthrie,2vC2y2TI0Iq4QbN4zjNAth
Helpless,Neil Young,2y3Ek8naO0FJgNaddG12TU
Vincent,Don McLean,0VNzEY1G4GLqcNx5qaaTl6
Harvest Moon,Neil Young,5l9c6bJmzvftumhz4TMPgk
Landslide,Fleetwood Mac,5ihS6UUlyQAfmp48eSkxuQ
Blowin' in the Wind,Bob Dylan,18GiV1BaXzPVYpp9rmOg0E
The Times They Are A-Changin',Bob Dylan,52vA3CYKZqZVdQnzRrdZt6
Like a Rolling Stone,Bob Dylan,3AhXZa8sUQht0UEdBJgpGc
Mr. Tambourine Man,Bob Dylan,3RkQ3UwOyPqpIiIvGVewuU
A Hard Rain's A-Gonna Fall,Bob Dylan,7ny2ATvjtKszCpLpfsGnVQ
Knockin' on Heaven's Door,Bob Dylan,6HSXNV0b4M4cLJ7ljgVVeh
The Sound of Silence,Simon & Garfunkel,5y788ya4NvwhBznoDIcXwK
Mrs. Robinson,Simon & Garfunkel,0iOZM63lendWRTTeKhZBSC
The Boxer,Simon & Garfunkel,76TZCvJ8GitQ2FA1q5dKu0
Bridge over Troubled Water,Simon & Garfunkel,6l8EbYRtQMgKOyc1gcDHF9
Scarborough Fair,Simon & Garfunkel,3g2fYZW5v2od8KIF7VktT0
I Am a Rock,Simon & Garfunkel,0byOqNZN9ailhoORv5Ps0Z
Big Yellow Taxi,Joni Mitchell,6UkMcAA19lTdjs22jtB7o2
Both Sides Now,Joni Mitchell,1pjATX7sbd6Y4jMVqIvzHk
A Case of You,Joni Mitchell,7shVwhUdVbHpykOfbzvDc1
River,Joni Mitchell,0DAmSYQW9kq9gQNDI002KP
Woodstock,Joni Mitchell,18o4mqgG9RmPAD8aItmvkO
Heart of Gold,Neil Young,26QKxvjlCo2fSd3T4c8Zpb
Old Man,Neil Young,6grFWYpLQul3nAHjzzPKT8
Harvest Moon,Neil Young,5l9c6bJmzvftumhz4TMPgk
The Needle and the Damage Done,Neil Young,7gaHuCPO76zceg54cJNalE
Fast Car,Tracy Chapman,2M9ro2krNb7nr7HSprkEgo
Give Me One Reason,Tracy Chapman,4vDBJeeQCbhP9FaPPMsYkY
Talkin' 'bout a Revolution,Tracy Chapman,0YMFcrMtBowDdD5bPz0cgy
Leaving on a Jet Plane,John Denver,3D8dwH690MXQRhtIZTSS9c
Take Me Home Country Roads,John Denver,1QbOvACeYanja5pbnJbAmk
Annie's Song,John Denver,4J0DbyODwZJcmIAiTSJfMF
Wild World,Cat Stevens,7mjSHL2Eb0kAwiKbvNNyD9
Father and Son,Cat Stevens,476V2d6iA2tWXgQboKmTtA
Morning Has Broken,Cat Stevens,5y8d8RHvxb0KiTa9Nq0xWp
The Night They Drove Old Dixie Down,Joan Baez,0uHYplBhwLYey7f9qAmnSM
Diamonds and Rust,Joan Baez,4O0sGJdqpHMaWz7KoVd7tb
Suzanne,Leonard Cohen,4jiM2fAXVOxl4DAx3wraFx
Hallelujah,Leonard Cohen,7yzbimr8WVyAtBX3Eg6UL9
Bird on the Wire,Leonard Cohen,3M0QK0bYdiGMu6JNoPk8YG
Famous Blue Raincoat,Leonard Cohen,0Oi6TiuKVXRBS0191bEqnu
Famous Blue Raincoat,Leonard Cohen,0Oi6TiuKVXRBS0191bEqnu
Pink Moon,Nick Drake,4KROoGIaPaR1pBHPnR3bwC
River Man,Nick Drake,3Uh7rAb7F0XGVpEEDwfH1k
Northern Sky,Nick Drake,7pdmBld4yW3WIUkrxHyb5r
Day Is Done,Nick Drake,66790TBuwlIrGxWWTVc6yl
The 59th Street Bridge Song,Simon & Garfunkel,0dzbfio3qTYG9uk40SJNcr
America,Simon & Garfunkel,6dfhF1BDGmhM69fnCb6wSC
Kathy's Song,Simon & Garfunkel,4Acofe9hICRvyBTP5hFNk0
Little Lion Man,Mumford & Sons,2KrN3MCNztKcSleZgHEj83
The Cave,Mumford & Sons,2F79HavLHwJlfvvJOkkIQD
I Will Wait,Mumford & Sons,5PRRthP9SLfbXB359MfIWv
Babel,Mumford & Sons,2VWsju2DQZHz4GJ60UIcqF
Ho Hey,The Lumineers,0DwClY2t9YAWHBROMIgrXb
Stubborn Love,The Lumineers,4wG82w1L31yQhgGiWt6gIb
Ophelia,The Lumineers,14AyWf6y7KlWWLfAjdKMKI
Cleopatra,The Lumineers,2AXY5WABx7NjWw1zb4qCdc
Holocene,Bon Iver,35KiiILklye1JRRctaLUb4
Skinny Love,Bon Iver,3B3eOgLJSqPEA0RfboIQVM
For Emma,Bon Iver,2nilAlGEZmwyaLTMMyDdLo
Stacks,Bon Iver,20AC70RUlVz6A6dCcQ5tRS
White Winter Hymnal,Fleet Foxes,4XTuSMs47SIg35KxhNIUGe
Mykonos,Fleet Foxes,7H71gZwWs3xPWnHM30NDUp
Helplessness Blues,Fleet Foxes,1b8Zlu3aMVxEbyeospYPrK
Blue Ridge Mountains,Fleet Foxes,1rk9eGO7AkPX1oafUuOnGs
Tiger Mountain Peasant Song,Fleet Foxes,2hNvu4bGZFOoop3PbornV2
Casimir Pulaski Day,Sufjan Stevens,53TIOhzNpRpl8xKdscSQSv
Chicago,Sufjan Stevens,1yupbrI7ROhigIHpQBevPh
Mystery of Love,Sufjan Stevens,5GbVzc6Ex5LYlLJqzRQhuy
Fourth of July,Sufjan Stevens,5Qnrgqy1pAm9GyNQOgyVFz
Flightless Bird American Mouth,Iron & Wine,1fEGtTZjrjJW8eUeewnNJR
Naked as We Came,Iron & Wine,6UIxGIqWlO5wsddY44AV1R
Boy with a Coin,Iron & Wine,34q2Y1O5zMeuBhX4WYn0aZ
Passing Afternoon,Iron & Wine,4mRLQVrkJqNjvBxMXSQ53X
The Trapeze Swinger,Iron & Wine,0EAvKXjChn1Rc3QmfYXevy
The Stable Song,Gregory Alan Isakov,3G9ETaH55bMQx8hwNhAgbU
Big Black Car,Gregory Alan Isakov,3Kj2EWpIBnvETsYq4cq0IH
San Luis,Gregory Alan Isakov,0mnWNvwXRNu82bpfi2rsuz
Amsterdam,Gregory Alan Isakov,7iQmjnDXYngWGsbjVnDc1U
Follow the Sun,Xavier Rudd,3Y7fpFZbHLpAvWJJYGehz0
Spirit Bird,Xavier Rudd,70zZclGWOjOVv9VRJ7RCyq
Society,Eddie Vedder,3bHhUEOTIbezeZ856R0BX5
Guaranteed,Eddie Vedder,4LGF2tDg3878bs0mQPByZ4
Rise,Eddie Vedder,1bhpBRCLsVg3p7BWARbaDS
Hard Sun,Eddie Vedder,0fzCtVM9D5UEwiLqcY8Ouq
Bread and Wine,Josh Garrels,6Ocml1V9tChR3fBHOfCbS9
Farther Along,Josh Garrels,6uwnfvgpVU09RqITeeZNCl
The Wind,Cat Stevens,0wEo4mwfs6tXYgCem9m9wP
Moonshadow,Cat Stevens,5p3nvmoaAY03qGmBQApn0w
Peace Train,Cat Stevens,4d0d2llNcQIHmaCgYTrODQ
Landslide,Fleetwood Mac,5ihS6UUlyQAfmp48eSkxuQ
Never Going Back Again,Fleetwood Mac,19Shlms2uTnOjIUg50TXzd
