song_name,artist_name,spotify_id
Lose Yourself,Eminem,1v7L65Lzy0j0vdpRjJewt1
HUMBLE.,Kendrick Lamar,7KXjTSCq5nL1LoYtL7XAwS
God's Plan,Drake,6DCZcSspjsKoFjzjrWoCdn
SICKO MODE,Travis Scott,2xLMifQCjDGFmkHkpNLD9h
Industry Baby,Lil Nas X,5Z9KJZvQzH6PFmb8SNkxuk
Alright,Kendrick Lamar,3iVcZ5G6tvkXZkZKlMpIUs
Juicy,The Notorious B.I.G.,5ByAIlEEnxYdvpnezg7HTX
Power,Kanye West,2gZUPNdnz5Y45eiGxpHGSc
Still D.R.E.,Dr. Dre,503OTo2dSqe7qk76rgsbep
Mask Off,Future,0VgkVdmE4gld66l8iyGjgx
Lose Yourself,Eminem,1v7L65Lzy0j0vdpRjJewt1
The Real Slim Shady,Eminem,3yfqSUWxFvZELEM4PmlwIR
Stan,Eminem,3UmaczJpikHgJFyBTAJVoz
Without Me,Eminem,7lQ8MOhq6IN2w8EYcFNSUk
Till I Collapse,Eminem,4xkOaSrkexMciUUogZKVTS
Not Afraid,Eminem,7Ie9W94M7OjPoZVV216Xus
Juicy,The Notorious B.I.G.,5ByAIlEEnxYdvpnezg7HTX
Big Poppa,The Notorious B.I.G.,2g8HN35AnVGIk7B8yMucww
Hypnotize,The Notorious B.I.G.,7KwZNVEaqikRSBSpyhXK2j
California Love,2Pac,3ia3dJETSOllPsv3LJkE35
Dear Mama,2Pac,6tDxrq4FxEL2q15y37tXT9
Ambitionz Az A Ridah,2Pac,5g9lS8deSIxItFBmZRC4vN
All Eyez On Me,2Pac,4VQNCzfZ3MdHEwwErNXpBo
N.Y. State of Mind,Nas,0trHOzAhNpGCsGBEu7dOJo
The World Is Yours,Nas,7G3lxTsMfSx4yarMkfgnTC
C.R.E.A.M.,Wu-Tang Clan,119c93MHjrDLJTApCVGpvx
Protect Ya Neck,Wu-Tang Clan,1Sgj10byiGzPpI2IrXSFEn
Ms. Jackson,Outkast,0I3q5fE6wg7LIfHGngUTnV
B.O.B.,Outkast,3WibbMr6canxRJXhNtAvLU
Hey Ya!,Outkast,2PpruBYCo4H7WOBJ7Q2EwM
Nuthin' but a 'G' Thang,Dr. Dre,5Tbpp3OLLClPJF8t1DmrFD
Still D.R.E.,Dr. Dre,503OTo2dSqe7qk76rgsbep
Forgot About Dre,Dr. Dre,7iXF2W9vKmDoGAhlHdpyIa
The Next Episode,Dr. Dre,4LwU4Vp6od3Sb08CsP99GC
In Da Club,50 Cent,7iL6o9tox1zgHpKUfh9vuC
P.I.M.P.,50 Cent,3G0yz3DZn3lfraledmBCT0
Candy Shop,50 Cent,5D2mYZuzcgjpchVY1pmTPh
Alright,Kendrick Lamar,3iVcZ5G6tvkXZkZKlMpIUs
Humble,Kendrick Lamar,7KXjTSCq5nL1LoYtL7XAwS
DNA.,Kendrick Lamar,6HZILIRieu8S0iqY8kIKhj
Money Trees,Kendrick Lamar,74tLlkN3rgVzRqQJgPfink
King Kunta,Kendrick Lamar,0N3W5peJUQtI4eyR6GJT5O
Swimming Pools (Drank),Kendrick Lamar,6REbwUNlppTfcnV4d4ZoZi
Power,Kanye West,2gZUPNdnz5Y45eiGxpHGSc
Stronger,Kanye West,0j2T0R9dR9qdJYsB7ciXhf
Gold Digger,Kanye West,1PS1QMdUqOal0ai3Gt7sDQ
Runaway,Kanye West,3DK6m7It6Pw857FcQftMds
Can't Tell Me Nothing,Kanye West,0mEdbdeRFQwBhN4xfyIeUM
Jesus Walks,Kanye West,5g1vtHqi9uV7xtYeCcFOBx
SICKO MODE,Travis Scott,2xLMifQCjDGFmkHkpNLD9h
Goosebumps,Travis Scott,6gBFPUFcJLzWGx4lenP6h2
Antidote,Travis Scott,1wHZx0LgzFHyeIZkUydNXq
God's Plan,Drake,6DCZcSspjsKoFjzjrWoCdn
Hotline Bling,Drake,0wwPcA6wtMf6HUMpIRdeP7
One Dance,Drake,1zi7xx7UVEFkmKfv06H8x0
Nice For What,Drake,3CA9pLiwRIGtUBiMjbZmRw
The Message,Grandmaster Flash,0yd8AwPHpPb8kuSivoN1wL
Rapper's Delight,The Sugarhill Gang,2XbwFs07dfm2MGQuYmRMZT
Fight the Power,Public Enemy,1yo16b3u0lptm6Cs7lx4AD
Straight Outta Compton,N.W.A.,6KIKRz9eSTXdNsGUnomdtW
Fuck Tha Police,N.W.A.,5n8Aro6j1bEGIy7Tpo7FV7
Gin and Juice,Snoop Dogg,39QBkWKnap8wRSW4WB9OK0
Drop It Like It's Hot,Snoop Dogg,2NBQmPrOEEjA8VbeWOQGxO
Murder Was the Case,Snoop Dogg,1z9EbieFSoVLz7A3Q2DCiu
