song_name,artist_name,spotify_id
So What,Miles Davis,4vLYewWIvqHfKtJDk8c8tq
Take Five,Dave Brubeck,1YQWosTIljIvxAgHWTp7KP
My Favorite Things,John Coltrane,2JOEPbuwVf0nafGnMSVEhH
Fly Me to the Moon,Frank Sinatra,5b7OgznPJJr1vHNYGyvxau
Autumn Leaves,Bill Evans,7JtcCde09fsajDNHmPFrX7
Blue in Green,Miles Davis,0aWMVrwxPNYkKmFthzmpRi
All of Me,Ella Fitzgerald,0qZo9OzKPzg58Ts9ad4Bcy
Round Midnight,Thelonious Monk,1wl5b2lw3YagQtZiYZbQWP
Summertime,Louis Armstrong,2gNjmvuQiEd2z9SqyYi8HH
Body and Soul,Coleman Hawkins,2xm9ihELo6xwrRKrBbPql9
So What,Miles Davis,4vLYewWIvqHfKtJDk8c8tq
Take Five,Dave Brubeck,1YQWosTIljIvxAgHWTp7KP
My Favorite Things,John Coltrane,2JOEPbuwVf0nafGnMSVEhH
Fly Me to the Moon,Frank Sinatra,5b7OgznPJJr1vHNYGyvxau
Autumn Leaves,Bill Evans,7JtcCde09fsajDNHmPFrX7
Blue in Green,Miles Davis,0aWMVrwxPNYkKmFthzmpRi
All of Me,Ella Fitzgerald,0qZo9OzKPzg58Ts9ad4Bcy
Round Midnight,Thelonious Monk,1wl5b2lw3YagQtZiYZbQWP
Summertime,Louis Armstrong,2gNjmvuQiEd2z9SqyYi8HH
Body and Soul,Coleman Hawkins,2xm9ihELo6xwrRKrBbPql9
What A Wonderful World,Louis ArmstrongTommy Goodman,
Unforgettable,Nat King ColeNelson Riddle,
Stormy Weather,Etta JamesRiley Hampton,
Blue Moon,Billie Holiday,1pZn8AX1WulW8IO338hE5D
Solitude,Billie Holiday,30QD4VRP9yEneOh0eGTrtJ
My Little Brown Book,Duke EllingtonJohn Coltrane,
Coffee Cold,Galt MacDermot,6MN6yRVriszuyAVlyF8ndB
There Will Never Be Another You,Lester YoungOscar Peterson Trio,
Naima - Mono,John Coltrane,5cAwEKmadsW4nCYe9QUvgU
So What,Miles Davis,4vLYewWIvqHfKtJDk8c8tq
Blue in Green,Miles Davis,0aWMVrwxPNYkKmFthzmpRi
All Blues,Miles Davis,5o3DSHw1ORhM3lWxqGRvEf
Freddie Freeloader,Miles Davis,3NvYPUNu6nwQgN31UnoDbn
Flamenco Sketches,Miles Davis,6dRx7OUXfvosnXG3g9lWGi
Milestones,Miles Davis,1xicvSO4CJ2ymqYgpk7DFh
My Favorite Things,John Coltrane,2JOEPbuwVf0nafGnMSVEhH
A Love Supreme Pt. 1,John Coltrane,0CLbmkYmQIWiEwnsbOkLpd
Giant Steps,John Coltrane,1ZXu0ib26kWfQQngREMcU2
