song_name,artist_name,spotify_id
Blinding Lights,The Weeknd,0VjIjW4GlUZAMYd2vXMi3b
Shape of You,Ed Sheeran,7qiZfU4dY1lWllzX7mPBI3
Bad Guy,Billie Eilish,2Fxmhks0bxGSBdJ92vM42m
Levitating,Dua Lipa,5nujrmhLynf4yMoMtj8AQF
Shake It Off,Taylor Swift,0cqRj7pUJDkTCEsJkx8snD
Poker Face,Lady Gaga,1QV6tiMFM6fSOKOGLMHYYg
Firework,Katy Perry,3lXbHd0EoryoQh3vpevNEP
Uptown Funk,Mark Ronson,32OlwWuMpZ6b0aN2RZOeMS
Hello,Adele,1Yk0cQdMLx5RzzFTYwmuld
Roar,Katy Perry,27tNWlhdAryQY04Gb2ZhUI
Blinding Lights,The Weeknd,0VjIjW4GlUZAMYd2vXMi3b
Shape of You,Ed Sheeran,7qiZfU4dY1lWllzX7mPBI3
Bad Guy,Billie Eilish,2Fxmhks0bxGSBdJ92vM42m
Levitating,Dua Lipa,5nujrmhLynf4yMoMtj8AQF
Shake It Off,Taylor Swift,0cqRj7pUJDkTCEsJkx8snD
Poker Face,Lady Gaga,1QV6tiMFM6fSOKOGLMHYYg
Firework,Katy Perry,3lXbHd0EoryoQh3vpevNEP
Uptown Funk,Mark Ronson,32OlwWuMpZ6b0aN2RZOeMS
Hello,Adele,1Yk0cQdMLx5RzzFTYwmuld
Roar,Katy Perry,27tNWlhdAryQY04Gb2ZhUI
The First Time,Damiano David,2t4RCWbICUqhPKVQeA7VPq
Watermelon Sugar,Harry Styles,6UelLqGlWMcVH1E5c4H7lY
LOVE AGAIN,The Kid LAROI,4sx6NRwL6Ol3V6m9exwGlQ
Water,Tyla,5aIVCx5tnk0ntmdiinnYvw
Criminals,Meghan Trainor,1gMFAi2auKTgHsYH7nIBhv
TRUSTFALL,P!nk,1gUwi1o1S9W9P0FQgJdY8s
Rude,MAGIC!,6RtPijgfPKROxEzTHNRiDp
Closer,HalseyThe Chainsmokers,
Floating,Richie Campbell,6mzUqJRO5UzphWpk1en0sb
Billie Jean,Michael Jackson,7J1uxwnxfQLu4APicE5Rnj
Thriller,Michael Jackson,2LlQb7Uoj1kKyGhlkBf9aC
Beat It,Michael Jackson,3BovdzfaX4jb5KFQwoPfAw
Bad,Michael Jackson,2gSNBigeWMVtY3QBIvPAEc
Smooth Criminal,Michael Jackson,5T7ywazdGIydr6JCW6t02j
Black or White,Michael Jackson,7EsjkelQuoUlJXEw7SeVV4
Like a Virgin,Madonna,1ZPlNanZsJSPK5h9YZZFbZ
Vogue,Madonna,27QvYgBk0CHOVHthWnkuWt
Material Girl,Madonna,22sLuJYcvZOSoLLRYev1s5
Like a Prayer,Madonna,2v7ywbUzCgcVohHaKUcacV
Hung Up,Madonna,3850dYVgOFIXJh5U4BFEWH
La Isla Bonita,Madonna,0NJdtoQ3RX5ckBjJlNXhlP
Toxic,Britney Spears,6I9VzXrHxO9rA9A5euc8Ak
Baby One More Time,Britney Spears,3MjUtNVVq3C8Fn0MP3zhXa
Oops!... I Did It Again,Britney Spears,6naxalmIoLFWR0siv8dnQQ
Womanizer,Britney Spears,4fixebDZAVToLbUCuEloa2
Bad Romance,Lady Gaga,0SiywuOBRcynK0uKGWdCnn
Poker Face,Lady Gaga,1QV6tiMFM6fSOKOGLMHYYg
Just Dance,Lady Gaga,1dzQoRqT5ucxXVaAhTcT0J
Born This Way,Lady Gaga,30XU4suKzCeoCK9YFzdufg
Shallow,Lady Gaga,2VxeLyX666F8uXCJ0dZF8B
Rain On Me,Lady Gaga,7ju97lgwC2rKQ6wwsf9no9
Shake It Off,Taylor Swift,0cqRj7pUJDkTCEsJkx8snD
Blank Space,Taylor Swift,1u8c2t2Cy7UBoG4ArRcF5g
Anti-Hero,Taylor Swift,0V3wPSX9ygBnCm8psDIegu
Cruel Summer,Taylor Swift,1BxfuPKGuaTgP7aM0Bbdwr
Love Story,Taylor Swift,3CeCwYWvdfXbZLXFhBrbnf
Bad Blood,Taylor Swift,0TvQLMecTE8utzoNmvXRbK
Flowers,Miley Cyrus,7DSAEUvxU8FajXtRloy8M0
Wrecking Ball,Miley Cyrus,2vwlzO0Qp8kfEtzTsCXfyE
Party In The U.S.A.,Miley Cyrus,3E7dfMvvCLUddWissuqMwr
Blinding Lights,The Weeknd,0VjIjW4GlUZAMYd2vXMi3b
Save Your Tears,The Weeknd,5QO79kh1waicV47BqGRL3g
Starboy,The Weeknd,7MXVkk9YMctZqd1Srtv4MB
Can't Feel My Face,The Weeknd,22VdIZQfgXJea34mQxlt81
As It Was,Harry Styles,4Dvkj6JhhA12EX05fT7y2e
Watermelon Sugar,Harry Styles,6UelLqGlWMcVH1E5c4H7lY
Adore You,Harry Styles,3jjujdWJ72nww5eGnfs2E7
Levitating,Dua Lipa,5nujrmhLynf4yMoMtj8AQF
Don't Start Now,Dua Lipa,3PfIrDoz19wz7qK7tYeu62
New Rules,Dua Lipa,2ekn2ttSfGqwhhate0LSR0
Physical,Dua Lipa,3AzjcOeAmA57TIOr9zF1ZW
Single Ladies (Put a Ring on It),Beyonc?,557un1HgwYMuqfWGSTmnxw
Halo,Beyonc?,2CvOqDpQIMw69cCzWqr5yr
Crazy In Love,Beyonc?,0TwBtDAWpkpM3srywFVOV5
Cuff It,Beyonc?,1xzi1Jcr7mEi9K2RfzLOqS
Umbrella,Rihanna,49FYlytm3dAAraYgpoJZux
Diamonds,Rihanna,7i0jaBLpIADxqNbhAb4XFb
We Found Love,Rihanna,6qn9YLKt13AGvpq9jfO8py
Don't Stop The Music,Rihanna,0ByMNEPAPpOR5H69DVrTNy
Stay,Rihanna,2Yy0FsAV2I5VXU4xpph2WN
Shape of You,Ed Sheeran,7qiZfU4dY1lWllzX7mPBI3
Perfect,Ed Sheeran,0tgVpDi06FyKpA1z0VMD4v
Bad Habits,Ed Sheeran,3rmo8F54jFF8OgYsqTxm5d
Thinking Out Loud,Ed Sheeran,34gCuhDGsG4bRPIf9bb02f
Roar,Katy Perry,27tNWlhdAryQY04Gb2ZhUI
Firework,Katy Perry,3lXbHd0EoryoQh3vpevNEP
Dark Horse,Katy Perry,4jbmgIyjGoXjY01XxatOx6
California Gurls,Katy Perry,1GhbQDYGEOjyFwfT8lojcx
7 rings,Ariana Grande,6ocbgoVGwYJhOv1GgI9NsF
thank u next,Ariana Grande,3e9HZxeyfWwjeyPAMmWSSQ
Side To Side,Ariana Grande,44ONERBHALxftQNWq6dmyd
No Tears Left to Cry,Ariana Grande,2qT1uLXPVPzGgFOx4jtEuo
Sorry,Justin Bieber,09CtPGIpYB4BrO8qb1RGsF
Love Yourself,Justin Bieber,50kpGaPAhYJ3sGmk6vplg0
Baby,Justin Bieber,6epn3r7S14KUqlReYr77hA
What Do You Mean?,Justin Bieber,4B0JvthVoAAuygILe3n4Bs
Stay,The Kid LAROI & Justin Bieber,5HCyWlXZPP0y6Gqq8TgA20
Uptown Funk,Bruno Mars,32OlwWuMpZ6b0aN2RZOeMS
24K Magic,Bruno Mars,6b8Be6ljOzmkOmFslEb23P
Locked Out of Heaven,Bruno Mars,3w3y8KPTfNeOKPiqUTakBh
Just the Way You Are,Bruno Mars,47Slg6LuqLaX0VodpSCvPt
Rolling in the Deep,Adele,4OSBTYWVwsQhGLF9NHvIbR
Hello,Adele,1Yk0cQdMLx5RzzFTYwmuld
Someone Like You,Adele,3bNv3VuUOKgrf5hu3YcuRo
Set Fire to the Rain,Adele,3di5hcvxxciiqwMH1jarhY
Water Under the Bridge,Adele,2DRMuw0U0QbkVQxWxdJV3M
Bad Guy,Billie Eilish,2Fxmhks0bxGSBdJ92vM42m
Happier Than Ever,Billie Eilish,4RVwu0g32PAqgUiJoXsdF8
Everything I Wanted,Billie Eilish,3ZCTVFBt2Brf31RLEnCkWJ
Drivers License,Olivia Rodrigo,5wANPM4fQCJwkGd4rN57mH
Good 4 U,Olivia Rodrigo,4ZtFanR9U6ndgddUvNcjcG
Vampire,Olivia Rodrigo,1kuGVB7EU95pJObxwvfwKS
Dancing Queen,ABBA,0GjEhVFGZW8afUYGChu3Rr
Mamma Mia,ABBA,2TxCwUlqaOH3TIyJqGgR91
Take a Chance on Me,ABBA,5BckPAYcKEJuYs1eV1BHHe
Gimme! Gimme! Gimme!,ABBA,3vkQ5DAB1qQMYO4Mr9zJN6
Waterloo,ABBA,3Dy4REq8O09IlgiwuHQ3sk
Stayin' Alive,Bee Gees,3mRM4NM8iO7UBqrSigCQFH
Night Fever,Bee Gees,5KgbyD2lQQlIupAaPjgiXg
How Deep Is Your Love,Bee Gees,2JoZzpdeP2G6Csfdq5aLXP
Wannabe,Spice Girls,1Je1IMUlBXcx1Fz0WE7oPT
Say You'll Be There,Spice Girls,1yTQ39my3MoNROlFw3RDNy
Spice Up Your Life,Spice Girls,5qGwqO0lkbBXw4xNfzT7SF
I Want It That Way,Backstreet Boys,47BBI51FKFwOMlIiX6m8ya
Everybody (Backstreet's Back),Backstreet Boys,1di1BEgJYzPvXUuinsYJGP
As Long as You Love Me,Backstreet Boys,3UpS7kBnkVQYG13pDDFTC4
Bye Bye Bye,NSYNC,62bOmKYxYg7dhrC6gH9vFn
It's Gonna Be Me,NSYNC,2AW37v0bDyuOzGP3XnmFuA
Can't Stop the Feeling!,Justin Timberlake,6JV2JOEocMgcZxYSZelKcc
SexyBack,Justin Timberlake,0O45fw2L5vsWpdsOdXwNAR
Mirrors,Justin Timberlake,4rHZZAmHpZrA3iH5zx8frV
Moves Like Jagger,Maroon 5,7pYfyrMNPn3wtoCyqcTVoI
Sugar,Maroon 5,2iuZJX9X9P0GKaE93xcPjk
Girls Like You,Maroon 5,7npLlaPu9Mfno8hjk5OagD
Payphone,Maroon 5,1XGmzt0PVuFgQYYnV2It7A
Hips Don't Lie,Shakira,3d0WouFnFmr0K3kjeza3fF
Whenever Wherever,Shakira,2lnzGkdtDj5mtlcOW2yRtG
Waka Waka,Shakira,6bNB5gxFX6Q87DbQWb8OWZ
Can't Get You Out of My Head,Kylie Minogue,3E7ZwUMJFqpsDOJzEkBrQ7
Padam Padam,Kylie Minogue,44MuEHdlociG8KjhPhOVw5
Believe,Cher,2goLsvvODILDzeeiT4dAoR
Strong Enough,Cher,144JMbvbR5txNzoZ112wo4
I Will Survive,Gloria Gaynor,7rIovIsXE6kMn629b7kDig
Girls Just Want to Have Fun,Cyndi Lauper,4y1LsJpmMti1PfRQV9AWWe
Time After Time,Cyndi Lauper,7o9uu2GDtVDr9nsR7ZRN73
Careless Whisper,George Michael,5ac3D4hNLW7NFhYFCThXgh
Faith,George Michael,0HEmnAUT8PHznIAAmVXqFJ
Freedom! '90,George Michael,1wZ7o1mZysv1l26ZWawVfW
