song_name,artist_name,spotify_id
Lose Yourself,Eminem,1v7L65Lzy0j0vdpRjJewt1
The Real Slim Shady,Eminem,3yfqSUWxFvZELEM4PmlwIR
Stan,Eminem,3UmaczJpikHgJFyBTAJVoz
Till I Collapse,Eminem,4xkOaSrkexMciUUogZKVTS
Rap God,Eminem,6or1bKJiZ06IlK0vFvY75k
Juicy,The Notorious B.I.G.,5ByAIlEEnxYdvpnezg7HTX
Big Poppa,The Notorious B.I.G.,2g8HN35AnVGIk7B8yMucww
Hypnotize,The Notorious B.I.G.,7KwZNVEaqikRSBSpyhXK2j
Mo Money Mo Problems,The Notorious B.I.G.,4INDiWSKvqSKDEu7mh8HFz
California Love,2Pac,3ia3dJETSOllPsv3LJkE35
Dear Mama,2Pac,6tDxrq4FxEL2q15y37tXT9
Ambitionz Az A Ridah,2Pac,5g9lS8deSIxItFBmZRC4vN
Changes,2Pac,1ofhfV90EnYhEr7Un2fWiv
All Eyez On Me,2Pac,4VQNCzfZ3MdHEwwErNXpBo
N.Y. State of Mind,Nas,0trHOzAhNpGCsGBEu7dOJo
The World Is Yours,Nas,7G3lxTsMfSx4yarMkfgnTC
If I Ruled the World,Nas,5PQmSHzWnlgG4EBuIqjac2
C.R.E.A.M.,Wu-Tang Clan,119c93MHjrDLJTApCVGpvx
Protect Ya Neck,Wu-Tang Clan,1Sgj10byiGzPpI2IrXSFEn
Gravel Pit,Wu-Tang Clan,5ATV1iQtlQThdBBbb7srw8
Ms. Jackson,Outkast,0I3q5fE6wg7LIfHGngUTnV
B.O.B.,Outkast,3WibbMr6canxRJXhNtAvLU
So Fresh, So Clean,Outkast
Still D.R.E.,Dr. Dre,503OTo2dSqe7qk76rgsbep
Forgot About Dre,Dr. Dre,7iXF2W9vKmDoGAhlHdpyIa
The Next Episode,Dr. Dre,4LwU4Vp6od3Sb08CsP99GC
Nuthin' but a 'G' Thang,Dr. Dre,5Tbpp3OLLClPJF8t1DmrFD
In Da Club,50 Cent,7iL6o9tox1zgHpKUfh9vuC
P.I.M.P.,50 Cent,3G0yz3DZn3lfraledmBCT0
Candy Shop,50 Cent,5D2mYZuzcgjpchVY1pmTPh
Many Men,50 Cent,5STdMlrBf6pqWiNE7WqxSi
Humble,Kendrick Lamar,7KXjTSCq5nL1LoYtL7XAwS
DNA.,Kendrick Lamar,6HZILIRieu8S0iqY8kIKhj
