song_name,artist_name,spotify_id
Bohemian Rhapsody,Queen,4u7EnebtmKWzUH433cf5Qv
Stairway to Heaven,Led Zeppelin,5CQ30WqJwcep0pYcV4AMNc
Smells Like Teen Spirit,Nirvana,4CeeEOM32jQcH3eN9Q2dGj
Back In Black,AC/DC,08mG3Y1vljYA6bvDt4Wqkj
Comfortably Numb,Pink Floyd,5HNCy40Ni5BZJFw1TKzRsC
Enter Sandman,Metallica,3DwQ7AH3xGD9h65ezslm6q
Sweet Child O' Mine,Guns N' Roses,7snQQk1zcKl8gZ92AnueZW
Highway to Hell,AC/DC,2zYzyRzz6pRmhPzyfMEC8s
Dream On,Aerosmith,1xsYj84j7hUDDnTTerGWlH
Paint It Black,The Rolling Stones,63T7DJ1AFDD6Bn8VzG6JE8
Bohemian Rhapsody,Queen,4u7EnebtmKWzUH433cf5Qv
Stairway to Heaven,Led Zeppelin,5CQ30WqJwcep0pYcV4AMNc
Smells Like Teen Spirit,Nirvana,4CeeEOM32jQcH3eN9Q2dGj
Back In Black,AC/DC,08mG3Y1vljYA6bvDt4Wqkj
Comfortably Numb,Pink Floyd,5HNCy40Ni5BZJFw1TKzRsC
Enter Sandman,Metallica,3DwQ7AH3xGD9h65ezslm6q
Sweet Child O' Mine,Guns N' Roses,7snQQk1zcKl8gZ92AnueZW
Highway to Hell,AC/DC,2zYzyRzz6pRmhPzyfMEC8s
Dream On,Aerosmith,1xsYj84j7hUDDnTTerGWlH
Paint It Black,The Rolling Stones,63T7DJ1AFDD6Bn8VzG6JE8
Kickstart My Heart,M?tley Cr?e,
Are You Gonna Go My Way,Lenny Kravitz,45Ia1U4KtIjAPPU7Wv1Sea
You Could Be Mine,Guns N' Roses,0dlTGl67UFWcKupzkxZYOn
You Shook Me All Night Long,AC/DC,2SiXAy7TuUkycRVbbWDEpo
School's Out,Alice Cooper,5Z8EDau8uNcP1E8JvmfkZe
It's My Life,Bon Jovi,0v1XpBHnsbkCn7iJ9Ucr1l
Cocaine,Eric Clapton,2udGjDmpK1dH9VGyw7nrei
All Along the Watchtower,Jimi Hendrix,2aoo2jlRnM3A0NyLQqMN2f
Come As You Are,Nirvana,2RsAajgo0g7bMCHxwH3Sk0
Back in Black,AC/DC,08mG3Y1vljYA6bvDt4Wqkj
Highway to Hell,AC/DC,2zYzyRzz6pRmhPzyfMEC8s
Thunderstruck,AC/DC,57bgtoPSgt236HzfBOd8kj
Hells Bells,AC/DC,69QHm3pustz01CJRwdo20z
Shoot to Thrill,AC/DC,0C80GCp0mMuBzLf3EAXqxv
T.N.T.,AC/DC,7LRMbd3LEoV5wZJvXT1Lwb
You Shook Me All Night Long,AC/DC,2SiXAy7TuUkycRVbbWDEpo
For Those About to Rock,AC/DC,17lu4tymfnhmcIDlzBbtAb
Master of Puppets,Metallica,2MuWTIM3b0YEAskbeeFE1i
Enter Sandman,Metallica,3DwQ7AH3xGD9h65ezslm6q
For Whom the Bell Tolls,Metallica,3LpHzQU2CZzZJGdUWV79SI
One,Metallica,02xhLoVqpGmOqvolgrwM8w
Sad But True,Metallica,5ltXoDLlI0rFZAmOXbAp5T
Fuel,Metallica,6FUwPb4mGlUDbx42uspXaZ
The Unforgiven,Metallica,5lqyqPU3JkpCbUbLmTVQPW
Creeping Death,Metallica,4CLRLdxUDPNeO1xCW0U2zC
Seek & Destroy,Metallica,28WmNsclKsrVmdv3tDmoYU
Battery,Metallica,6UB9mShVLbMm0W4e6vud4C
Duality,Slipknot,61mWefnWQOLf90gepjOCb3
Psychosocial,Slipknot,3RAFcUBrCNaboRXoP3S5t1
Before I Forget,Slipknot,6wqJeItl3Vc3az4ZicSQAB
Wait and Bleed,Slipknot,15DLl1r2zi07Ssq5RT1yT0
The Devil in I,Slipknot,5hheGdf1cb4rK0FNiedCfK
Unsainted,Slipknot,5mpUKTdskZea0gStWzeHUZ
Snuff,Slipknot,2vPZ4Lklyu75zBR3SgbFNI
People = Shit,Slipknot,0Y2i84QWPFiFHQfEQDgHya
Chop Suey!,System of a Down,2DlHlPMa4M17kufBvI2lEN
Toxicity,System of a Down,0snQkGI5qnAmohLE7jTsTn
B.Y.O.B.,System of a Down,0EYOdF5FCkgOJJla8DI2Md
Aerials,System of a Down,4e9eGQYsOiBcftrWXwsVco
Sugar,System of a Down,7jDhsoXLKVsKi3fk3s4M4Z
Prison Song,System of a Down,3AwLxSqo1jOOMpNsgxqRNE
Paranoid,Black Sabbath,3Jnxngdff0lVu2rza1GVx6
Iron Man,Black Sabbath,755bvJDSA3LNcNuFgBT9LK
War Pigs,Black Sabbath,6TYQRlRci6AkVrN9a5C7ne
Children of the Grave,Black Sabbath,0ElAcOj8tudMA6X6KZ7SMO
N.I.B.,Black Sabbath,3XclwoQxz4p6Dl7VUf90KW
Sabbath Bloody Sabbath,Black Sabbath,29KYPEsbcMcVKnd6iyu6Q5
Ace of Spades,Motorhead,3CIOopLwvyMvXk97ZEksKO
Overkill,Motorhead,4XvvR8F6qOcnzgChO1uTIO
Iron Fist,Motorhead,5GLfSOVpSKwPBlqfjGqvfy
The Game,Motorhead,2zSpaFB7e0Yo1QKsDQ22Ol
Walk,Pantera,7fcfNW0XxTWlwVlftzfDOR
Cowboys from Hell,Pantera,2SgbR6ttzoNlCRGQOKjrop
5 Minutes Alone,Pantera,5SAEMjVQbmin3g7b0RG6me
Cemetery Gates,Pantera,4vJr55lngvhSM8WIh9CjQc
I'm Broken,Pantera,2M5WTwqnkyz7bW6P1CiD6q
Mouth for War,Pantera,6rkeaQRCWZxwkjhyqgxjXi
Killing in the Name,Rage Against the Machine,59WN2psjkt1tyaxjspN8fp
Bulls on Parade,Rage Against the Machine,0tZ3mElWcr74OOhKEiNz1x
Guerrilla Radio,Rage Against the Machine,1wsRitfRRtWyEapl0q22o8
Sleep Now in the Fire,Rage Against the Machine,1MQTmpYOZ6fcMQc56Hdo7T
Du Hast,Rammstein,6XcoiOYiNbIxzpt8WRxq8Z
Sonne,Rammstein,3gVhsZtseYtY1fMuyYq06F
Deutschland,Rammstein,2bPGTMB5sFfFYQ2YvSmup0
Ich Will,Rammstein,3X0K6fII7VIwL1URPrp8Ko
Mein Herz Brennt,Rammstein,5ArNGisLzrNOIVwWajRRdt
Engel,Rammstein,5Zuboc3Cj9Ldnc8HyUnNUK
Feuer Frei!,Rammstein,5aNH8inF5BsbThDeOLs7zs
The Trooper,Iron Maiden,4OROzZUy6gOWN4UGQVaZMF
Run to the Hills,Iron Maiden,4Zc7TCHzuNwL0AFBlyLdyr
The Number of the Beast,Iron Maiden,3nlGByvetDcS1uomAoiBmy
Fear of the Dark,Iron Maiden,6p8eFfPw3nQkf37aT3AkmK
Hallowed Be Thy Name,Iron Maiden,469rBLYJUZHMJLtq2Wch3h
